
"QS203EW - Country of birth (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Area Type  :","countries"
"Area Name  :","England and Wales"
"Rural Urban:","Total"

"Date","All categories: Country of birth","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: Great Britain not otherwise specified","Europe: United Kingdom not otherwise specified","Europe: Guernsey","Europe: Jersey","Europe: Channel Islands not otherwise specified","Europe: Isle of Man","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU Countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands)","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Africa: Africa not otherwise specified","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: North America: Other North America","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Antarctica","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: Other Australasia","Antarctica and Oceania: Other Oceania","Other"

2011,56075912,51319357,48570902,44882858,214988,733218,2732624,2103,5111,6377,9259,1677,8738,407357,2315047,2035619,921251,129804,273564,134619,88161,79184,215919,1114368,97083,579121,79687,358477,279428,91115,188313,1312617,113363,397068,93846,191183,112039,786216,137492,101370,191023,118348,237983,15970,2587066,295075,81680,213395,321140,152498,102241,66401,1628037,211500,694148,482137,127242,113010,333657,122625,211032,9157,673401,250023,177185,72838,14345,144908,264125,160095,104030,183373,51,174718,116287,58431,8604,98



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"QS203EW - Country of birth (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 27 November 2020]"
"Population :","All usual residents"
"Units      :","Persons"
"Area Type  :","countries"
