1981-2011 Census Data - Population Bases (All Residents),,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2020],,,
Analysis   :,standard,,
Area Type  :,countries,,
Area Name  :,Great Britain,,
,,,
Date,Total,Male,Female
,,,
1971,53688855,26095764,27593091
1981,53556911,26053190,27503721
1991,54888844,26574954,28313890
2001,57103927,2775840,29345507
2011,61371315,30140820,31230495
,,,
,,,
,,,
,,,
,,,
1981-2011 Census Data - Population Bases (All Residents),,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2020],,,
Analysis   :,standard,,
Area Type  :,countries,,
Area Name  :,England,,
,,,
Date,Total,Male,Female
,,,
1971,45917667,22348109,23569558
1981,45771956,22288395,23483561
1991,47055204,22812889,24242315
2001,49138831,23922144,25216687
2011,53012456,26069148,26943308
,,,
,,,
,,,
,,,
,,,
1981-2011 Census Data - Population Bases (All Residents),,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2020],,,
Analysis   :,standard,,
Area Type  :,countries,,
Area Name  :,Wales,,
,,,
Date,Total,Male,Female
,,,
1971,2668095,1296711,1371384
1981,2749640,1336323,1413317
1991,2835073,1370104,1464969
2001,2903085,1403782,1499303
2011,3063456,1504228,1559228
,,,
,,,
,,,
,,,
,,,
1981-2011 Census Data - Population Bases (All Residents),,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2020],,,
Analysis   :,standard,,
Area Type  :,countries,,
Area Name  :,Scotland,,
,,,
Date,Total,Male,Female
,,,
1971,5103093,2450944,2652149
1981,5035315,2428472,2606843
1991,4998567,2391961,2606606
2001,5062011,2432494,2629517
2011,5295403,2567444,2727959
,,,
,,,
,,,
,,,
,,,
1981-2011 Census Data - Population Bases (All Residents),,,
ONS Crown Copyright Reserved [from Nomis on 27 November 2020],,,
Analysis   :,standard,,
Area Type  :,countries,,
Area Name  :,England and Wales,,
,,,
Date,Total,Male,Female
,,,
1971,48585762,23644820,24940942
1981,48521596,23624718,24896878
1991,49890277,24182993,25707284
2001,52041916,25325926,26715990
2011,56075912,27573376,28502536
