Date,North America,United Kingdom,Europe,Oceania,Asia,Africa,South America
25-Dec-11,53.57142857,42.85714286,3.571428571,0,0,0,0
18-Dec-11,51.61290323,41.93548387,6.451612903,0,0,0,0
11-Dec-11,46.66666667,46.66666667,6.666666667,0,0,0,0
04-Dec-11,48.38709677,45.16129032,6.451612903,0,0,0,0
27-Nov-11,52.94117647,41.17647059,5.882352941,0,0,0,0
20-Nov-11,43.75,50,6.25,0,0,0,0
13-Nov-11,50,37.5,9.375,0,0,3.125,0
06-Nov-11,51.51515152,39.39393939,9.090909091,0,0,0,0
30-Oct-11,51.51515152,39.39393939,9.090909091,0,0,0,0
23-Oct-11,59.375,28.125,12.5,0,0,0,0
16-Oct-11,51.51515152,36.36363636,12.12121212,0,0,0,0
09-Oct-11,44.82758621,44.82758621,10.34482759,0,0,0,0
02-Oct-11,40,46.66666667,13.33333333,0,0,0,0
25-Sep-11,32.14285714,50,17.85714286,0,0,0,0
18-Sep-11,33.33333333,51.85185185,14.81481481,0,0,0,0
11-Sep-11,44,48,8,0,0,0,0
04-Sep-11,43.47826087,43.47826087,13.04347826,0,0,0,0
28-Aug-11,40,44,16,0,0,0,0
21-Aug-11,50,27.27272727,22.72727273,0,0,0,0
14-Aug-11,54.16666667,25,20.83333333,0,0,0,0
07-Aug-11,50,33.33333333,16.66666667,0,0,0,0
31-Jul-11,40,44,16,0,0,0,0
24-Jul-11,54.16666667,29.16666667,16.66666667,0,0,0,0
17-Jul-11,60.86956522,17.39130435,17.39130435,0,0,4.347826087,0
10-Jul-11,56.52173913,17.39130435,21.73913043,0,0,4.347826087,0
03-Jul-11,56,20,20,0,0,4,0
26-Jun-11,62.96296296,18.51851852,14.81481481,0,0,3.703703704,0
19-Jun-11,58.62068966,20.68965517,17.24137931,0,0,3.448275862,0
12-Jun-11,62.96296296,14.81481481,22.22222222,0,0,0,0
05-Jun-11,68,12,20,0,0,0,0
29-May-11,75,8.333333333,16.66666667,0,0,0,0
22-May-11,75,8.333333333,16.66666667,0,0,0,0
15-May-11,73.91304348,13.04347826,13.04347826,0,0,0,0
08-May-11,82.60869565,4.347826087,13.04347826,0,0,0,0
01-May-11,79.16666667,16.66666667,4.166666667,0,0,0,0
24-Apr-11,73.07692308,23.07692308,3.846153846,0,0,0,0
17-Apr-11,66.66666667,25.92592593,7.407407407,0,0,0,0
10-Apr-11,73.07692308,19.23076923,7.692307692,0,0,0,0
03-Apr-11,68,20,12,0,0,0,0
27-Mar-11,70.83333333,16.66666667,12.5,0,0,0,0
20-Mar-11,60,28,12,0,0,0,0
13-Mar-11,62.96296296,25.92592593,11.11111111,0,0,0,0
06-Mar-11,60,28,12,0,0,0,0
27-Feb-11,56,32,12,0,0,0,0
20-Feb-11,48,44,8,0,0,0,0
13-Feb-11,57.69230769,30.76923077,7.692307692,0,0,3.846153846,0
06-Feb-11,52.17391304,34.7826087,8.695652174,0,0,4.347826087,0
30-Jan-11,43.47826087,47.82608696,4.347826087,0,0,4.347826087,0
23-Jan-11,52,40,4,0,0,4,0
16-Jan-11,59.25925926,33.33333333,3.703703704,0,0,3.703703704,0
09-Jan-11,51.72413793,44.82758621,3.448275862,0,0,0,0
02-Jan-11,46.875,50,3.125,0,0,0,0
26-Dec-10,48.38709677,48.38709677,3.225806452,0,0,0,0
19-Dec-10,59.375,37.5,3.125,0,0,0,0
12-Dec-10,48.38709677,38.70967742,6.451612903,3.225806452,0,3.225806452,0
05-Dec-10,50,40,6.666666667,0,0,3.333333333,0
28-Nov-10,48.27586207,37.93103448,6.896551724,3.448275862,0,3.448275862,0
21-Nov-10,55.17241379,34.48275862,6.896551724,0,0,3.448275862,0
14-Nov-10,60,36.66666667,3.333333333,0,0,0,0
07-Nov-10,56.66666667,36.66666667,3.333333333,0,0,3.333333333,0
31-Oct-10,48.38709677,41.93548387,9.677419355,0,0,0,0
24-Oct-10,48.38709677,41.93548387,9.677419355,0,0,0,0
17-Oct-10,43.33333333,40,16.66666667,0,0,0,0
10-Oct-10,41.37931034,34.48275862,20.68965517,3.448275862,0,0,0
03-Oct-10,35.71428571,35.71428571,21.42857143,3.571428571,3.571428571,0,0
26-Sep-10,40.74074074,33.33333333,22.22222222,0,3.703703704,0,0
19-Sep-10,41.66666667,37.5,20.83333333,0,0,0,0
12-Sep-10,37.5,37.5,25,0,0,0,0
05-Sep-10,44,28,20,0,4,4,0
29-Aug-10,44.44444444,25.92592593,22.22222222,0,3.703703704,3.703703704,0
22-Aug-10,40,28,20,4,0,4,4
15-Aug-10,52,20,16,4,0,4,4
08-Aug-10,60.86956522,13.04347826,17.39130435,4.347826087,0,0,4.347826087
01-Aug-10,53.84615385,15.38461538,19.23076923,3.846153846,0,3.846153846,3.846153846
25-Jul-10,50,20.83333333,16.66666667,4.166666667,0,4.166666667,4.166666667
18-Jul-10,54.16666667,20.83333333,12.5,4.166666667,0,4.166666667,4.166666667
11-Jul-10,50,26.92307692,11.53846154,3.846153846,0,3.846153846,3.846153846
04-Jul-10,51.85185185,22.22222222,14.81481481,3.703703704,0,3.703703704,3.703703704
27-Jun-10,50,28.57142857,10.71428571,3.571428571,0,3.571428571,3.571428571
20-Jun-10,41.66666667,33.33333333,12.5,4.166666667,0,4.166666667,4.166666667
13-Jun-10,50,33.33333333,8.333333333,0,0,4.166666667,4.166666667
06-Jun-10,50,34.61538462,11.53846154,0,0,3.846153846,0
30-May-10,55.55555556,33.33333333,7.407407407,0,0,3.703703704,0
23-May-10,46.15384615,42.30769231,11.53846154,0,0,0,0
16-May-10,53.57142857,35.71428571,10.71428571,0,0,0,0
09-May-10,48.27586207,44.82758621,6.896551724,0,0,0,0
02-May-10,60,33.33333333,6.666666667,0,0,0,0
25-Apr-10,54.83870968,38.70967742,6.451612903,0,0,0,0
18-Apr-10,51.61290323,41.93548387,6.451612903,0,0,0,0
11-Apr-10,48.27586207,37.93103448,10.34482759,3.448275862,0,0,0
04-Apr-10,48,36,12,4,0,0,0
28-Mar-10,44.44444444,40.74074074,11.11111111,3.703703704,0,0,0
21-Mar-10,40,44,12,4,0,0,0
14-Mar-10,50,41.66666667,4.166666667,4.166666667,0,0,0
07-Mar-10,47.61904762,42.85714286,9.523809524,0,0,0,0
28-Feb-10,40,55,5,0,0,0,0
21-Feb-10,40.90909091,54.54545455,4.545454545,0,0,0,0
14-Feb-10,54.54545455,40.90909091,4.545454545,0,0,0,0
07-Feb-10,58.33333333,37.5,4.166666667,0,0,0,0
31-Jan-10,52,44,4,0,0,0,0
24-Jan-10,46.15384615,50,3.846153846,0,0,0,0
17-Jan-10,50,46.42857143,3.571428571,0,0,0,0
10-Jan-10,46.66666667,50,3.333333333,0,0,0,0
03-Jan-10,42.85714286,53.57142857,3.571428571,0,0,0,0
27-Dec-09,41.37931034,55.17241379,3.448275862,0,0,0,0
20-Dec-09,40,56.66666667,3.333333333,0,0,0,0
13-Dec-09,36.66666667,53.33333333,6.666666667,0,0,0,3.333333333
06-Dec-09,38.70967742,54.83870968,3.225806452,0,0,0,3.225806452
29-Nov-09,32.25806452,58.06451613,6.451612903,0,0,0,3.225806452
22-Nov-09,27.5862069,58.62068966,6.896551724,0,0,0,6.896551724
15-Nov-09,23.33333333,63.33333333,6.666666667,0,0,3.333333333,3.333333333
08-Nov-09,35.48387097,48.38709677,6.451612903,3.225806452,0,3.225806452,3.225806452
01-Nov-09,37.5,46.875,6.25,3.125,0,3.125,3.125
25-Oct-09,31.25,56.25,3.125,3.125,0,3.125,3.125
18-Oct-09,33.33333333,50,3.333333333,6.666666667,0,3.333333333,3.333333333
11-Oct-09,36.66666667,40,3.333333333,10,0,6.666666667,3.333333333
04-Oct-09,37.03703704,37.03703704,7.407407407,7.407407407,0,7.407407407,3.703703704
27-Sep-09,37.03703704,40.74074074,11.11111111,3.703703704,0,3.703703704,3.703703704
20-Sep-09,35.71428571,39.28571429,7.142857143,3.571428571,3.571428571,7.142857143,3.571428571
13-Sep-09,29.03225806,41.93548387,12.90322581,6.451612903,0,6.451612903,3.225806452
06-Sep-09,34.375,43.75,9.375,6.25,0,6.25,0
30-Aug-09,33.33333333,45.45454545,9.090909091,6.060606061,0,6.060606061,0
23-Aug-09,35.29411765,44.11764706,8.823529412,5.882352941,0,5.882352941,0
16-Aug-09,40.625,40.625,9.375,3.125,0,6.25,0
09-Aug-09,41.93548387,38.70967742,6.451612903,6.451612903,0,6.451612903,0
10-Jun-90,38.46153846,43.58974359,15.38461538,2.564102564,0,0,0
03-Jun-90,39.13043478,43.47826087,13.04347826,4.347826087,0,0,0
27-May-90,37.5,41.66666667,16.66666667,4.166666667,0,0,0
20-May-90,33.33333333,50,12.5,4.166666667,0,0,0
13-May-90,39.13043478,43.47826087,13.04347826,4.347826087,0,0,0
06-May-90,40.90909091,45.45454545,9.090909091,4.545454545,0,0,0
29-Apr-90,40,48,8,4,0,0,0
22-Apr-90,40,48,8,4,0,0,0
15-Apr-90,32,56,8,4,0,0,0
08-Apr-90,33.33333333,55.55555556,7.407407407,3.703703704,0,0,0
01-Apr-90,33.33333333,51.85185185,11.11111111,3.703703704,0,0,0
25-Mar-90,36,52,12,0,0,0,0
18-Mar-90,26.92307692,57.69230769,15.38461538,0,0,0,0
11-Mar-90,25,64.28571429,10.71428571,0,0,0,0
04-Mar-90,28.57142857,57.14285714,10.71428571,0,3.571428571,0,0
25-Feb-90,25.92592593,55.55555556,11.11111111,3.703703704,3.703703704,0,0
18-Feb-90,27.5862069,55.17241379,10.34482759,3.448275862,3.448275862,0,0
11-Feb-90,29.03225806,54.83870968,12.90322581,3.225806452,0,0,0
04-Feb-90,41.37931034,44.82758621,10.34482759,3.448275862,0,0,0
28-Jan-90,40.74074074,37.03703704,14.81481481,7.407407407,0,0,0
21-Jan-90,42.30769231,38.46153846,11.53846154,7.692307692,0,0,0
14-Jan-90,35.71428571,42.85714286,14.28571429,7.142857143,0,0,0
07-Jan-90,33.33333333,51.85185185,11.11111111,3.703703704,0,0,0
31-Dec-89,25,60.71428571,10.71428571,3.571428571,0,0,0
24-Dec-89,27.5862069,58.62068966,10.34482759,3.448275862,0,0,0
17-Dec-89,26.66666667,60,6.666666667,6.666666667,0,0,0
10-Dec-89,25.80645161,61.29032258,6.451612903,6.451612903,0,0,0
03-Dec-89,25.80645161,61.29032258,6.451612903,6.451612903,0,0,0
26-Nov-89,30,53.33333333,13.33333333,3.333333333,0,0,0
19-Nov-89,38.70967742,45.16129032,12.90322581,3.225806452,0,0,0
